Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Brand,PriceinAUS,Subtitle Metric,Acceleration Metric,Range Metric,TopSpeed Metric,Efficiency Metric,FastChargeSpeed Metric,PriceinAUS Metric
Renault Twingo Electric,21.3,12.6,135.0,130.0,164.0,0.0,Rear Wheel Drive,4,24790.0,,Renault,,1,3,1,1,4,1,
Audi e-tron S 55 quattro,86.5,4.5,210.0,320.0,270.0,510.0,All Wheel Drive,5,93800.0,87000.0,Audi,162690.0,2,5,2,2,1,2,4
Audi e-tron S Sportback 55 quattro,86.5,4.5,210.0,335.0,258.0,540.0,All Wheel Drive,5,96050.0,88700.0,Audi,165869.0,2,5,2,2,1,2,3
Volkswagen ID.4 1st,77.0,8.5,160.0,410.0,188.0,500.0,Rear Wheel Drive,5,,40800.0,Volkswagen,76296.0,2,4,2,1,3,2,5
Byton M-Byte 95 kWh 2WD,95.0,7.5,190.0,400.0,238.0,480.0,Rear Wheel Drive,5,62000.0,57500.0,Byton,107525.0,3,4,2,2,2,2,4
Fiat 500e Cabrio,37.3,9.0,150.0,245.0,152.0,410.0,Front Wheel Drive,4,30560.0,26645.0,Fiat,49826.15,1,4,1,1,4,2,5
Opel Mokka-e ,45.0,8.5,150.0,255.0,176.0,340.0,Front Wheel Drive,5,34110.0,30540.0,Opel,57109.8,1,4,1,1,3,2,5
Skoda Enyaq iV 60,58.0,8.7,160.0,330.0,176.0,420.0,Rear Wheel Drive,5,38850.0,31995.0,Skoda,59830.65,2,4,2,1,3,2,5
Skoda Enyaq iV 80,77.0,8.6,160.0,420.0,183.0,510.0,Rear Wheel Drive,5,43950.0,39350.0,Skoda,73584.5,2,4,2,1,3,2,5
Skoda Enyaq iV 80X,77.0,6.9,160.0,405.0,190.0,500.0,All Wheel Drive,5,47000.0,42000.0,Skoda,78540.0,2,4,2,1,3,2,5
Skoda Enyaq iV RS,77.0,6.2,180.0,395.0,195.0,480.0,All Wheel Drive,5,50000.0,45000.0,Skoda,84150.0,2,4,2,1,3,2,5
Fiat 500e Hatchback 42 kWh,37.3,9.0,150.0,250.0,149.0,420.0,Front Wheel Drive,4,27560.0,23995.0,Fiat,44870.65,1,4,1,1,4,2,5
Citroen e-C4 ,45.0,9.7,150.0,250.0,180.0,330.0,Front Wheel Drive,5,34640.0,30895.0,Citroen,57773.65,1,4,1,1,3,2,5
Jaguar I-Pace EV400,84.7,4.8,200.0,365.0,232.0,340.0,All Wheel Drive,5,77300.0,65195.0,Jaguar,121914.65000000001,2,5,2,2,2,2,4
Kia e-Soul 39 kWh,39.2,9.9,157.0,230.0,170.0,220.0,Front Wheel Drive,5,33990.0,,Kia,,1,4,1,1,4,1,
Audi Q4 Sportback e-tron 35,51.5,9.0,160.0,295.0,175.0,410.0,Rear Wheel Drive,5,43900.0,42250.0,Audi,79007.5,1,4,2,1,3,2,5
Nissan Ariya 63kWh,63.0,7.5,160.0,335.0,188.0,450.0,Front Wheel Drive,5,45000.0,40000.0,Nissan,74800.0,2,4,2,1,3,2,5
Nissan Ariya 87kWh,87.0,7.6,160.0,445.0,196.0,530.0,Front Wheel Drive,5,50000.0,45000.0,Nissan,84150.0,2,4,3,1,3,2,5
Nissan Ariya e-4ORCE 63kWh,63.0,5.9,200.0,325.0,194.0,440.0,All Wheel Drive,5,50000.0,45000.0,Nissan,84150.0,2,5,2,2,3,2,5
Nissan Ariya e-4ORCE 87kWh,87.0,5.7,200.0,420.0,207.0,500.0,All Wheel Drive,5,57500.0,52500.0,Nissan,98175.0,2,5,2,2,3,2,5
Nissan Ariya e-4ORCE 87kWh Performance,87.0,5.1,200.0,385.0,226.0,460.0,All Wheel Drive,5,65000.0,57500.0,Nissan,107525.0,2,5,2,2,2,2,4
Volkswagen ID.3 Pro Performance,58.0,7.3,160.0,350.0,166.0,440.0,Rear Wheel Drive,5,36495.0,29740.0,Volkswagen,55613.8,2,4,2,1,4,2,5
MG MG5 EV,48.8,7.7,185.0,295.0,165.0,340.0,Front Wheel Drive,5,,25095.0,MG,46927.65,1,4,2,2,4,2,5
Volkswagen ID.4 Pro Performance,77.0,8.5,160.0,410.0,188.0,500.0,Rear Wheel Drive,5,44450.0,41570.0,Volkswagen,77735.90000000001,2,4,2,1,3,2,5
